61,60,29
62,7,2
62,9,3
62,13,2
62,17,2
62,19,3
62,21,9
62,29,2
62,33,2
62,35,2
62,37,6
62,39,2
62,41,10
62,45,3
62,47,2
62,49,3
62,51,3
62,53,6
62,55,6
62,57,6
62,59,10
62,61,30
63,8,3
63,16,7
63,17,2
63,19,3
63,22,3
63,25,6
63,29,2
63,32,15
63,34,4
63,37,3
63,38,6
63,40,2
63,41,5
63,53,3
63,62,30
64,5,2
64,7,3
64,9,4
64,13,5
64,17,2
64,21,10
64,25,2
64,29,2
64,37,2
64,41,2
64,45,2
64,49,2
64,51,7
64,53,2
64,55,3
64,57,4
64,59,7
64,61,10
64,63,31
